1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
255,255,255,255,255,255,255,255,255,255
255,255,255,255,255,255,255,255,255,255
255,255,255,255,255,255,255,255,255,255
255,255,255,255,255,255,255,255,255,255
255,255,255,255,255,255,255,255,255,255
255,255,255,255,255,255,255,255,255,255
255,255,255,255,255,255,255,255,255,255
255,255,255,255,255,255,255,255,255,255
255,255,255,255,255,255,255,255,255,255
255,255,255,255,255,255,255,255,255,255
255,255,255,255,255,255,255,255,255,255
255,255,255,255,255,255,255,255,255,255
255,255,255,255,255,255,255,255,255,255
255,255,255,255,255,255,255,255,255,255
255,255,255,255,255,255,255,255,255,255
255,255,255,255,255,255,255,255,255,255
