1,2,255,255,255,1,1,255,255,255
1,2,255,255,3,1,1,1,255,255
1,2,1,255,3,255,1,1,1,255
1,2,1,2,255,1,3,3,3,1
1,2,1,2,255,3,2,3,2,3
255,2,1,2,1,3,0,3,0,3
0,255,1,2,1,3,0,3,0,3
255,0,1,2,1,3,3,3,3,3
255,255,3,2,1,3,3,1,3,3
255,255,3,2,1,3,1,3,1,3
0,255,3,3,1,3,3,3,3,3
255,0,3,3,3,2,3,3,3,255
255,255,3,3,3,2,2,3,255,255
255,255,255,3,3,3,0,255,255,255
255,255,255,255,255,255,255,0,0,255
255,255,255,255,255,255,255,255,255,255
255,255,255,255,255,255,255,255,255,255
255,255,255,255,255,255,255,255,255,255
255,255,255,255,255,255,255,255,255,255
255,255,255,255,255,255,255,255,255,255
255,255,255,255,255,255,255,255,255,255
255,255,255,255,255,255,255,255,255,255
255,255,255,255,255,255,255,255,255,255
255,255,255,255,255,255,255,255,255,255
255,255,255,255,255,255,255,255,255,255
